sample_id,transition_group,candidate_margin_group,gold_answer,baseline_answer,swap_answer,baseline_correct,swap_correct,answer_changed,score_success,skip_reason,clean_margin,swap_margin,margin_delta,clean_margin_raw,swap_margin_raw,margin_delta_raw,margin_delta_lt_0,clean_baseline_tokens,clean_swap_tokens,direct_baseline_tokens,direct_swap_tokens
mgsm_0000,stable_correct,stable_correct,18,18,18,True,True,False,False,baseline_equals_swap,,,,,,,,,,,
mgsm_0001,broken,broken,3,3,6,True,False,True,True,,-1.2968750298023224,-1.0156249403953552,0.28125008940696716,-2.5937500596046448,-2.0312498807907104,0.5625001788139343,False,2,2,2,2
mgsm_0002,stable_wrong,stable_wrong_different_answer,70000,110000,4,False,False,True,True,,0.7884222439357212,0.6870769432612828,-0.10134530067443848,-2.554908275604248,-2.473639965057373,0.081268310546875,True,7,2,7,2
mgsm_0003,broken,broken,540,540,180,True,False,True,True,,0.4531627595424652,0.23165550827980042,-0.2215072512626648,1.8126510381698608,0.9266220331192017,-0.8860290050506592,True,4,4,4,4
mgsm_0004,stable_wrong,stable_wrong_different_answer,20,0,3,False,False,True,True,,-1.8203125596046448,-1.4999999403953552,0.32031261920928955,-3.6406251192092896,-2.9999998807907104,0.6406252384185791,False,2,2,2,2
mgsm_0005,stable_wrong,stable_wrong_different_answer,64,208,70,False,False,True,True,,-0.5989791552225749,-0.080332597096761,0.518646558125814,-3.971135139465332,-2.041790008544922,1.9293451309204102,False,4,3,4,3
mgsm_0006,stable_correct,stable_correct,260,260,260,True,True,False,False,baseline_equals_swap,,,,,,,,,,,
mgsm_0007,stable_wrong,stable_wrong_different_answer,160,40,100,False,False,True,True,,-0.13390392065048218,-0.13112151622772217,0.0027824044227600098,0.361417293548584,0.46649909019470215,0.10508179664611816,False,3,4,3,4
mgsm_0008,stable_wrong,stable_wrong_different_answer,45,432,180,False,False,True,True,,-1.296514868736267,-0.9464147090911865,0.35010015964508057,-5.186059474945068,-3.785658836364746,1.4004006385803223,False,4,4,4,4
mgsm_0009,stable_correct,stable_correct,460,460,460,True,True,False,False,baseline_equals_swap,,,,,,,,,,,
mgsm_0010,repaired,repaired,366,375,366,False,True,True,True,,-0.6062009334564209,-0.6347982883453369,-0.028597354888916016,-2.4248037338256836,-2.5391931533813477,-0.11438941955566406,True,4,4,4,4
mgsm_0011,stable_wrong,stable_wrong,694,794,794,False,False,False,False,baseline_equals_swap,,,,,,,,,,,
mgsm_0012,stable_wrong,stable_wrong_different_answer,13,1,0,False,False,True,True,,2.6406251192092896,2.2031249403953552,-0.4375001788139343,5.281250238418579,4.4062498807907104,-0.8750003576278687,True,2,2,2,2
mgsm_0013,stable_wrong,stable_wrong_different_answer,18,16,5,False,False,True,True,,1.5816714763641357,1.0580627918243408,-0.5236086845397949,1.7555341720581055,0.8005633354187012,-0.9549708366394043,True,3,2,3,2
mgsm_0014,broken,broken,60,60,10,True,False,True,True,,-0.11665280659993504,-0.29320875803629554,-0.1765559514363605,-0.3499584197998047,-0.8796262741088867,-0.529667854309082,True,3,3,3,3
mgsm_0015,stable_wrong,stable_wrong_different_answer,125,96,0.0,False,False,True,True,,0.17334119478861476,-0.2199340661366782,-0.39327526092529297,2.8656210899353027,1.3229050636291504,-1.5427160263061523,True,3,4,3,4
mgsm_0016,stable_wrong,stable_wrong_different_answer,230,300,460,False,False,True,True,,0.7502090930938721,0.5571846961975098,-0.1930243968963623,3.0008363723754883,2.228738784790039,-0.7720975875854492,True,4,4,4,4
mgsm_0017,stable_correct,stable_correct,57500,57500,57500,True,True,False,False,baseline_equals_swap,,,,,,,,,,,
mgsm_0018,stable_correct,stable_correct,7,7,7,True,True,False,False,baseline_equals_swap,,,,,,,,,,,
mgsm_0019,broken,broken,6,6,1.5,True,False,True,True,,-0.19968390464782715,0.09983670711517334,0.2995206117630005,1.746824026107788,2.7212140560150146,0.9743900299072266,False,2,4,2,4
mgsm_0020,stable_wrong,stable_wrong_different_answer,15,14.67,6.67,False,False,True,True,,0.8350188891092938,0.6418552398681641,-0.19316364924112972,2.92169189453125,1.848489761352539,-1.073202133178711,True,6,5,6,5
mgsm_0021,stable_wrong,stable_wrong_different_answer,14,2,17,False,False,True,True,,-0.04277722040812182,0.16179251670837402,0.20456973711649584,0.990825891494751,1.4564228057861328,0.46559691429138184,False,2,3,2,3
mgsm_0022,stable_correct,stable_correct,7,7,7,True,True,False,False,baseline_equals_swap,,,,,,,,,,,
mgsm_0023,stable_correct,stable_correct,8,8,8,True,True,False,False,baseline_equals_swap,,,,,,,,,,,
mgsm_0024,stable_correct,stable_correct,26,26,26,True,True,False,False,baseline_equals_swap,,,,,,,,,,,
mgsm_0025,stable_correct,stable_correct,2,2,2,True,True,False,False,baseline_equals_swap,,,,,,,,,,,
mgsm_0026,stable_correct,stable_correct,243,243,243,True,True,False,False,baseline_equals_swap,,,,,,,,,,,
mgsm_0027,stable_wrong,stable_wrong_different_answer,16,240,16.00,False,False,True,True,,1.2811252673467,0.842597524325053,-0.438527743021647,8.677759647369385,6.2828450202941895,-2.3949146270751953,True,4,6,4,6
